year,org_name,org_code,unit_main_code,unit_sub_code,unit_name
2016,Jyväskylän yliopisto,01906,,214000,Matemaattis-luonnontieteellinen tiedekunta
2016,Jyväskylän yliopisto,01906,214000,214020,Fysiikan laitos
2016,Jyväskylän yliopisto,01906,214000,214030,Kemian laitos
2016,Jyväskylän yliopisto,01906,214000,214010,Bio- ja ympäristötieteiden laitos
2016,Jyväskylän yliopisto,01906,214000,214040,Matematiikan ja tilastotieteen laitos
2016,Jyväskylän yliopisto,01906,,210100,Normaalikoulu
2016,Jyväskylän yliopisto,01906,,212000,Yhteiskuntatieteellinen tiedekunta
2016,Jyväskylän yliopisto,01906,212000,212020,Psykologian laitos
2016,Jyväskylän yliopisto,01906,212000,212010,Yhteiskuntatieteiden ja filosofian laitos
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,10000,10000,Talous ja kulttuuri yhteiset
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,10000,11000,"Liiketalouden koulutusyksikkö, Kouvola"
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,10000,12000,"Liiketalouden koulutusyksikkö, Mikkeli"
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,10000,13000,Kulttuurin koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,20000,20000,Tekniikka yhteiset
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,20000,21000,Rakennus-  ja energiatekniikan koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,20000,22000,Informaatioteknologian koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,20000,23000,"Sähkö-, talo- ja materiaalitekniikan koulutusyksikkö"
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,20000,24000,Metsätalouden ja ympäristöteknologian koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,20000,25000,Logistiikan ja merenkulun koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,30000,30000,Hyvinvointi yhteiset
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,30000,31000,Kuntoutus- ja terveysalan koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,30000,32000,Terveysalan ja ensihoidon koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,30000,33000,Sosiaali- ja terveysalan koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,30000,34000,Sosiaalialan ja toimintakyvyn edistämisen koulutusyksikkö
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,30000,35000,"Matkailu-,ravitsemis- ja nuorisoalan koulutusyksikkö"
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,,40000,Opetuksen hallinto
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,,51000,Opetuksen palvelut
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,,70000,"Talous, henkilöstö- ja hallintopalvelut"
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,60000,TKI ja palvelut
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,61000,TKI-palvelut
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,62100,Digitaalinen talous
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,62200,"Metsä, ympäristö ja energia"
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,62300,Logistiikka ja merenkulku
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,62400,Kestävä hyvinvointi
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,62500,Luovat alat
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,66000,Kuitulaboratorio
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,66600,Kymilabs
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,66100,3K-tehdas
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,66200,Nuorisoalan tutkimus- ja kehittämiskeskus Juvenia
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,66300,Mikpolis
2017,Kaakkois-Suomen ammattikorkeakoulu,10118,60000,66900,Pienyrityskeskus
2016,Kajaanin ammattikorkeakoulu,02473,,10,Liiketoiminta ja innovaatiot
2016,Kajaanin ammattikorkeakoulu,02473,,11,Kone- ja kaivostekniikka
2016,Kajaanin ammattikorkeakoulu,02473,,12,Tietojärjestelmät
2016,Kajaanin ammattikorkeakoulu,02473,,13,Sairaan- ja terveydenhoito
2016,Kajaanin ammattikorkeakoulu,02473,,14,Aktiviteettimatkailu
2016,Kajaanin ammattikorkeakoulu,02473,,15,Aikuis- ja täydennyskoulutuspalvelut AIKOPA
2016,Kajaanin ammattikorkeakoulu,02473,,16,Koulutuspalvelut
2016,Kajaanin ammattikorkeakoulu,02473,,17,TKI-palvelut
2016,Kajaanin ammattikorkeakoulu,02473,,18,Kampuspalvelut
2016,Karelia,02469,,1054,1054 Rehtorin toimisto
2016,Karelia,02469,,1055,1055 Opintoasiainpalvelut
2016,Karelia,02469,,1057,1057 Laskentapalvelut
2016,Karelia,02469,,1060,1060 Henkilöstöpalvelut
2016,Karelia,02469,,1063,1063 Tiedotus- ja markkinointi
2016,Karelia,02469,,1066,1066 Tietohallinto
2016,Karelia,02469,,1069,1069 Kirjasto
2016,Karelia,02469,,1072,1072 Kansainvälistymispalvelut
2016,Karelia,02469,,1970,1970 Projektitoiminta/YPA
2016,Karelia,02469,,2051,2051 TKI- ja palveluliiketoiminta
2016,Karelia,02469,,3051,3051 Metsätalous
2016,Karelia,02469,,3054,3054 Maaseutuelinkeinot
2016,Karelia,02469,,3101,3101 Energia- ja ympäristötekniikka
2016,Karelia,02469,,5000,5000 Koulutuksen hallinto/Wärtsilä
2016,Karelia,02469,,5011,5011 TKI/Projektit/Tekniikan alat
2016,Karelia,02469,,5031,5031 Tietojenkäsittely
2016,Karelia,02469,,5051,5051 Konetekniikka
2016,Karelia,02469,,5054,5054 Rakennustekniikka
2016,Karelia,02469,,5057,5057 Tieto- ja viestintätekniikka
2016,Karelia,02469,,5061,5061 Talotekniikka
2016,Karelia,02469,,5064,5064 Sähkötekniikka
2016,Karelia,02469,,5067,5067 YAMK Teknologiaosaamisen johtaminen
2016,Karelia,02469,,5101,5101 Liiketalous
2016,Karelia,02469,,5104,5104 International business
2016,Karelia,02469,,5110,5110 YAMK Johtamisen ja liiketoimintaosaamisen koulutus
2016,Karelia,02469,,5999,5999 Elinkeinotoiminta/tekniikka
2016,Karelia,02469,,6051,6051 Medianomikoulutus
2016,Karelia,02469,,6054,6054 Musiikkipedagogikoulutus
2016,Karelia,02469,,6057,6057 Muotoilu
2016,Karelia,02469,,6151,6151 Restonomi
2016,Karelia,02469,,7000,7000 Koulutuksen hallinto/Tikkarinne
2016,Karelia,02469,,7051,7051 Sosionomi
2016,Karelia,02469,,7054,7054 Sairaanhoitaja
2016,Karelia,02469,,7057,7057 Fysioterapeutti
2016,Karelia,02469,,7061,7061 Terveydenhoitaja
2016,Karelia,02469,,7063,7063 YAMK Sosiaali- ja terveysalan kehittäminen ja johtaminen
2016,Karelia,02469,,7064,7064 YAMK Ikäosaaminen
2016,Karelia,02469,,8067,8067 Maakuntakorkeakoulu
2016,Kymenlaakson ammattikorkeakoulu,02608,01000,01000,Talous ja kulttuuri yhteiset
2016,Kymenlaakson ammattikorkeakoulu,02608,01000,1100,"Liiketalouden koulutusyksikkö, Kouvola"
2016,Kymenlaakson ammattikorkeakoulu,02608,01000,1200,"Liiketalouden koulutusyksikkö, Mikkeli"
2016,Kymenlaakson ammattikorkeakoulu,02608,01000,1300,Kulttuurin koulutusyksikkö
2016,Kymenlaakson ammattikorkeakoulu,02608,02000,02000,Tekniikka yhteiset
2016,Kymenlaakson ammattikorkeakoulu,02608,02000,02100,Rakennus- ja energiatekniikan koulutusyksikkö
